,phrase,label,sentiment,subjectivity,language,count
Vanuatu,Vanuatu,LOC,0.13157894736842107,0.0,de,38
Tibet,Tibet,LOC,0.05833333333333332,0.027777777777777776,de,36
Erdbeben in Tibet,Erdbeben in Tibet,LOC,0.13999999999999999,0.0,de,15
Xinhua,Xinhua,LOC,-0.21428571428571427,0.0,de,14
Erde,Erde,LOC,-0.12916666666666665,0.0,de,12
Südpazifik,Südpazifik,LOC,-0.27,0.0,de,10
Nepal,Nepal,LOC,0.0875,0.0,de,8
Mount Everest,Mount Everest,LOC,-0.11666666666666667,0.047619047619047616,de,7
Tibets,Tibets,LOC,0.39999999999999997,0.0,de,7
Aachen,Aachen,LOC,-0.14166666666666666,0.0,de,6
Shigatse,Shigatse,LOC,-0.5,0.0,de,6
Chinas,Chinas,LOC,-0.2833333333333333,0.0,de,6
Vogtland,Vogtland,LOC,-0.11666666666666665,0.0,de,6
Erdbeben im Pazifik,Erdbeben im Pazifik,LOC,0.0,0.0,de,4
Provinz Udine,Provinz Udine,LOC,0.35,0.0,de,4
Klingenthal,Klingenthal,LOC,0.0,0.0,de,4
Erdbeben in Vanuatu,Erdbeben in Vanuatu,LOC,0.0,0.0,de,4
Österreich,Österreich,LOC,0.175,0.0,de,4
Himalaya,Himalaya,LOC,0.2333333333333333,0.3333333333333333,de,3
Venetien,Venetien,LOC,0.4666666666666666,0.0,de,3
Stadt,Stadt,LOC,-1.0,0.0,de,3
Sachsen,Sachsen,LOC,0.0,0.0,de,3
Erdbeben am Mount Everest,Erdbeben am Mount Everest,LOC,0.0,0.3333333333333333,de,3
Erdbeben in Türkei,Erdbeben in Türkei,LOC,0.0,0.0,de,3
Stadt Shigatse,Stadt Shigatse,LOC,0.0,0.0,de,3
Kathmandu,Kathmandu,LOC,0.0,0.0,de,3
Kerkrade,Kerkrade,LOC,-0.07500000000000001,0.0,de,2
Ampezzo,Ampezzo,LOC,0.35,0.0,de,2
Erdstoß,Erdstoß,LOC,-1.0,0.0,de,2
Vogtlandkreis,Vogtlandkreis,LOC,0.0,0.0,de,2
Berlin,Berlin,LOC,0.0,0.0,de,2
Nachbarstaaten,Nachbarstaaten,LOC,0.0,0.0,de,2
Tingri,Tingri,LOC,0.0,0.0,de,2
Indien,Indien,LOC,0.35,0.0,de,2
