,phrase,label,sentiment,subjectivity,language,count
chinesischen,chinesischen,MISC,,,de,14
Erdbeben in Tibet,Erdbeben in Tibet,MISC,0.0,0.06666666666666667,de,14
griechische,griechische,MISC,,,de,11
griechischen,griechischen,MISC,,,de,10
chinesische,chinesische,MISC,,,de,9
Erdbeben in der Türkei,Erdbeben in der Türkei,MISC,,,de,7
Erdbeben in Vanuatu,Erdbeben in Vanuatu,MISC,-0.7125,0.0,de,6
"Erdbeben der Stärke 4,0","Erdbeben der Stärke 4,0",MISC,,,de,5
Tsunami-Warnung,Tsunami-Warnung,MISC,,,de,4
Zwei Jahre nach den verheerenden Erdbeben,Zwei Jahre nach den verheerenden Erdbeben,MISC,,,de,4
chinesischer,chinesischer,MISC,,,de,4
Zwei Jahre danach,Zwei Jahre danach,MISC,,,de,4
"Erdbeben der Stärke 7,4","Erdbeben der Stärke 7,4",MISC,,,de,4
deutsche,deutsche,MISC,,,de,3
Starkes Erdbeben erschüttert Taiwan,Starkes Erdbeben erschüttert Taiwan,MISC,,,de,3
Erdbeben,Erdbeben,MISC,0.05384615384615384,0.0,de,3
Das Leben nach dem,Das Leben nach dem,MISC,,,de,3
Antakya,Antakya,MISC,,,de,3
Notstand für Santorini,Notstand für Santorini,MISC,,,de,3
"Erdbeben der Stärke 2,4","Erdbeben der Stärke 2,4",MISC,,,de,2
Österreichischen,Österreichischen,MISC,,,de,2
JavaScript,JavaScript,MISC,,,de,2
Browser,Browser,MISC,,,de,2
Adblocker,Adblocker,MISC,,,de,2
deutscher,deutscher,MISC,,,de,2
Erdbeben erschüttert Tibet,Erdbeben erschüttert Tibet,MISC,,,de,2
Zwei Jahre nach den verheerenden Erdbeben in der Türkei,Zwei Jahre nach den verheerenden Erdbeben in der Türkei,MISC,,,de,2
"Erdbeben der Stärke 6,8","Erdbeben der Stärke 6,8",MISC,,,de,2
israelischer,israelischer,MISC,,,de,2
Erdbebens in Tibet,Erdbebens in Tibet,MISC,,,de,2
Link,Link,MISC,,,de,2
Ein heftiges Erdbeben erschüttert den Inselstaat,Ein heftiges Erdbeben erschüttert den Inselstaat,MISC,,,de,2
Österreichische,Österreichische,MISC,,,de,2
Internet,Internet,MISC,,,de,2
Schweres Erdbeben,Schweres Erdbeben,MISC,,,de,2
Erdbeben die Türkei,Erdbeben die Türkei,MISC,,,de,2
Pazifik-Staat Vanuatu,Pazifik-Staat Vanuatu,MISC,,,de,2
Nothelfern ke…,Nothelfern ke…,MISC,,,de,2
Tote und Verletzte,Tote und Verletzte,MISC,,,de,1
griechischer,griechischer,MISC,,,de,1
Erdbeben-Experten,Erdbeben-Experten,MISC,,,de,1
Tote in Inselstaat,Tote in Inselstaat,MISC,,,de,1
Erdbeben erschüttert NRW,Erdbeben erschüttert NRW,MISC,,,de,1
japanischen,japanischen,MISC,,,de,1
Leichtes Erdbeben,Leichtes Erdbeben,MISC,0.0,0.0,de,1
Erdbeben vor zwei Jahren,Erdbeben vor zwei Jahren,MISC,,,de,1
KI,KI,MISC,,,de,1
R1,R1,MISC,,,de,1
KI-Erdbeben,KI-Erdbeben,MISC,,,de,1
Leichtes Erdbeben in der Obersteiermark,Leichtes Erdbeben in der Obersteiermark,MISC,,,de,1
Lesen Sie jetzt „Starkes Erdbeben erschüttert Taiwan,Lesen Sie jetzt „Starkes Erdbeben erschüttert Taiwan,MISC,,,de,1
Nacht auf Sonntag,Nacht auf Sonntag,MISC,,,de,1
rumänische,rumänische,MISC,,,de,1
R…,R…,MISC,,,de,1
Erdbeben vor Santorini,Erdbeben vor Santorini,MISC,,,de,1
Erschütter…,Erschütter…,MISC,,,de,1
japanische,japanische,MISC,,,de,1
Erdbeben von 2023,Erdbeben von 2023,MISC,,,de,1
Türkische,Türkische,MISC,,,de,1
Lesen Sie jetzt „Notstand für Santorini,Lesen Sie jetzt „Notstand für Santorini,MISC,,,de,1
Ein schweres …,Ein schweres …,MISC,,,de,1
Die verheerenden Erdbeben,Die verheerenden Erdbeben,MISC,,,de,1
Katastrophe,Katastrophe,MISC,,,de,1
Schweres Erdbeben in der Türkei,Schweres Erdbeben in der Türkei,MISC,,,de,1
Erd­beben,Erd­beben,MISC,,,de,1
Erdbebens in der Türkei,Erdbebens in der Türkei,MISC,,,de,1
Lesen Sie jetzt „Erhebliche Schäden,Lesen Sie jetzt „Erhebliche Schäden,MISC,,,de,1
Todesopfer im Land,Todesopfer im Land,MISC,,,de,1
Die Beben,Die Beben,MISC,,,de,1
Tag ums Überleben,Tag ums Überleben,MISC,,,de,1
Wissensch,Wissensch,MISC,,,de,1
Lesen Sie jetzt „Nur,Lesen Sie jetzt „Nur,MISC,,,de,1
"Erdbeben der Stärke 7,3","Erdbeben der Stärke 7,3",MISC,,,de,1
Lesen Sie jetzt „Feiern im Schutt - Das Leben nach dem Erdbeben in der Türkei,Lesen Sie jetzt „Feiern im Schutt - Das Leben nach dem Erdbeben in der Türkei,MISC,,,de,1
Erdbeben 1999,Erdbeben 1999,MISC,,,de,1
Erdbeben in Sicherheit - und sind in Sorge um Verwandte und Freunde,Erdbeben in Sicherheit - und sind in Sorge um Verwandte und Freunde,MISC,,,de,1
Erdbeben auf der ganzen Welt,Erdbeben auf der ganzen Welt,MISC,,,de,1
Erdbeben mit Tausenden Toten,Erdbeben mit Tausenden Toten,MISC,,,de,1
Zeugen das Beben,Zeugen das Beben,MISC,,,de,1
Die brennende Stadt,Die brennende Stadt,MISC,,,de,1
Erdbeben in T…,Erdbeben in T…,MISC,,,de,1
Tsunami-Katastrophe,Tsunami-Katastrophe,MISC,,,de,1
indonesischen,indonesischen,MISC,,,de,1
Die Zahl der Todesopfer eines Erdbebens in Tibet,Die Zahl der Todesopfer eines Erdbebens in Tibet,MISC,,,de,1
Todesopfer eines Erdbebens in Tibet,Todesopfer eines Erdbebens in Tibet,MISC,,,de,1
Todesopfer durch Erdbeben in Tibet,Todesopfer durch Erdbeben in Tibet,MISC,,,de,1
"Magnitude 6,8 erschüttert Tibet","Magnitude 6,8 erschüttert Tibet",MISC,,,de,1
Erdbeben i…,Erdbeben i…,MISC,,,de,1
Lesen Sie jetzt „Mindestens 32 Tote nach Erdbeben in Tibet,Lesen Sie jetzt „Mindestens 32 Tote nach Erdbeben in Tibet,MISC,,,de,1
Chinesische,Chinesische,MISC,,,de,1
Lesen Sie jetzt „Geologe,Lesen Sie jetzt „Geologe,MISC,,,de,1
Erdbeben in de…,Erdbeben in de…,MISC,,,de,1
Todesopfer nach dem schweren Erdbeben in der Mount-Everest-Region,Todesopfer nach dem schweren Erdbeben in der Mount-Everest-Region,MISC,,,de,1
österreichischen,österreichischen,MISC,,,de,1
Jahr 70,Jahr 70,MISC,,,de,1
GMT,GMT,MISC,,,de,1
CCTV,CCTV,MISC,,,de,1
Lesen Sie jetzt „Erde,Lesen Sie jetzt „Erde,MISC,,,de,1
Starkes Erdbeben,Starkes Erdbeben,MISC,,,de,1
SZ am Morgen,SZ am Morgen,MISC,,,de,1
Tages,Tages,MISC,,,de,1
Trumps,Trumps,MISC,,,de,1
Erdbeben erwischt Bergsteiger,Erdbeben erwischt Bergsteiger,MISC,,,de,1
Cyborg-Schaben,Cyborg-Schaben,MISC,,,de,1
Mini-Tsunami - Schweres Erdbeben,Mini-Tsunami - Schweres Erdbeben,MISC,,,de,1
Erdbeben der Stärke 4,Erdbeben der Stärke 4,MISC,,,de,1
"Starkes Erdbeben der Stärke 6,2","Starkes Erdbeben der Stärke 6,2",MISC,,,de,1
Lesen Sie jetzt „,Lesen Sie jetzt „,MISC,,,de,1
"Erdbeben der Stärke 3,6","Erdbeben der Stärke 3,6",MISC,,,de,1
"Erdbeben der Stärke 3,6 in","Erdbeben der Stärke 3,6 in",MISC,,,de,1
Erdbeben an dem Berg,Erdbeben an dem Berg,MISC,,,de,1
Erdbeben-Verschüttete,Erdbeben-Verschüttete,MISC,,,de,1
Wirtschaftsleis,Wirtschaftsleis,MISC,,,de,1
Chinesischen,Chinesischen,MISC,,,de,1
deutschen,deutschen,MISC,,,de,1
Lesen Sie jetzt „Gericht,Lesen Sie jetzt „Gericht,MISC,,,de,1
Tote nach,Tote nach,MISC,,,de,1
Todesopfer nach dem schweren Erdbeben in der Mo…,Todesopfer nach dem schweren Erdbeben in der Mo…,MISC,,,de,1
Die Zahl der Todesopfer nach dem schweren Erdbeben in der Mount-Everest-Region,Die Zahl der Todesopfer nach dem schweren Erdbeben in der Mount-Everest-Region,MISC,,,de,1
Erdbeben in Tibet - News,Erdbeben in Tibet - News,MISC,,,de,1
D…,D…,MISC,,,de,1
Urlaubs-Region,Urlaubs-Region,MISC,,,de,1
