,Hazard,Impacts,Causes,Mitigation
2024-12-16,1,0,0,0
2024-12-17,7,0,0,0
2024-12-18,10,0,0,0
2024-12-22,4,0,0,0
2024-12-25,2,0,0,0
2024-12-26,1,0,0,0
2024-12-29,3,0,0,0
2024-12-30,3,0,0,0
2025-01-02,2,0,0,0
2025-01-03,2,0,0,0
2025-01-07,31,0,0,0
2025-01-08,7,0,0,0
2025-01-09,2,0,0,0
2025-01-10,2,0,0,0
2025-01-12,2,0,0,0
2025-01-13,2,0,0,0
2025-01-14,1,0,0,0
2025-01-15,1,0,0,0
2025-01-16,2,0,0,0
2025-01-17,1,0,0,0
2025-01-19,1,0,0,0
2025-01-20,2,0,0,0
2025-01-21,3,0,0,0
2025-01-22,1,0,0,0
2025-01-26,1,0,0,0
2025-01-27,1,0,0,0
2025-01-29,4,0,0,0
2025-01-30,1,0,0,0
2025-02-01,8,0,0,0
2025-02-02,8,0,0,0
2025-02-03,18,0,0,0
2025-02-04,22,0,0,0
2025-02-05,18,0,0,0
2025-02-06,28,0,0,0
2025-02-07,8,0,0,0
2025-02-08,1,0,0,0
2025-02-09,12,0,0,0
2025-02-10,3,0,0,0
2025-02-11,5,0,0,0
2025-02-12,7,0,0,0
2025-02-13,1,0,0,0
2025-02-14,1,0,0,0
2025-02-15,2,0,0,0
2025-02-16,2,0,0,0
2025-02-17,4,0,0,0
2025-02-18,1,0,0,0
2025-02-19,3,0,0,0
2025-02-20,1,0,0,0
2025-02-21,2,0,0,0
2025-02-23,2,0,0,0
2025-02-24,1,0,0,0
2025-02-26,2,0,0,0
2025-02-27,1,0,0,0
2025-03-01,1,0,0,0
2025-03-03,4,0,0,0
2025-03-04,2,0,0,0
2025-03-06,1,0,0,0
2025-03-09,3,0,0,0
2025-03-10,1,0,0,0
2025-03-13,11,0,0,0
2025-03-14,4,0,0,0
2025-03-15,2,0,0,0
2025-03-16,1,0,0,0
2025-03-21,1,0,0,0
2025-03-25,4,0,0,0
2025-03-28,110,0,0,0
2025-03-29,49,0,0,0
2025-03-30,36,0,0,1
2025-03-31,34,0,0,0
2025-04-01,25,0,0,0
2025-04-02,31,0,0,0
2025-04-03,10,0,0,0
2025-04-04,10,0,0,0
2025-04-05,9,0,0,0
2025-04-06,5,0,0,0
2025-04-07,10,0,0,0
2025-04-08,1,0,0,0
2025-04-09,6,0,0,0
2025-04-10,1,0,0,0
2025-04-11,2,0,0,0
2025-04-13,3,0,0,0
2025-04-14,3,0,0,1
2025-04-16,1,0,0,0
2025-04-17,1,0,0,0
2025-04-18,1,0,0,0
2025-04-19,2,0,0,0
2025-04-20,4,0,0,0
2025-04-21,1,0,0,0
2025-04-22,2,0,0,0
2025-04-23,42,0,0,0
2025-04-24,24,0,0,0
2025-04-25,4,0,0,0
2025-04-26,3,0,0,0
2025-04-27,1,0,0,0
2025-04-29,1,0,0,0
2025-04-30,1,0,0,0
2025-05-02,13,0,0,0
2025-05-03,1,0,0,0
2025-05-05,1,0,0,0
2025-05-06,1,0,0,0
2025-05-09,2,0,0,0
2025-05-10,1,0,0,0
2025-05-11,1,0,0,0
2025-05-12,1,0,0,0
2025-05-13,8,0,0,0
2025-05-14,6,0,0,0
2025-05-15,5,0,0,0
2025-05-16,1,0,0,0
