,summary,Mitigation,Hazard,Causes,Impacts,word
summaryOfAllWords,430438.73480953276,121607.85911254291,104709.50136114383,98395.93794014724,105725.4363957192,
Israel,47.891515126345304,0.006151233779467719,-0.003934681139028622,-0.0017932762860806556,-0.0015416094999076682,Israel
löst,147.47067595421908,0.016382995830814304,-0.0027844089698709717,-0.004187769429528953,-0.01243316665156451,löst
israel lös+t,9.528057180348647,-0.009231097468820879,0.003356276655914242,0.013898816870143634,-0.005803029330119266,israel lös+t
Bombe,12.01932636552646,-0.005792988431615462,0.002552704298378711,0.011589645791022266,-0.006759159556162326,Bombe
lös+t bombe,12.01932636552646,-0.005792988431615462,0.002552704298378711,0.011589645791022266,-0.006759159556162326,lös+t bombe
Erdbeben,23253.487523043237,0.02633093565350302,-0.005214757541327245,-0.011598415333257749,-0.014916215308644482,Erdbeben
bombe erdbeben,17.05875871132675,-0.0012080341763392175,0.001469504235562909,0.008440686017750727,-0.00798838096890163,bombe erdbeben
Dort,40.095603157940204,0.022502671012385227,-0.007114726650960979,-0.022644802374192165,0.001681531772875946,Dort
erdbeben dort,9.357695094217858,-0.009513196432956629,0.0034218585785541563,0.014086139666461219,-0.0057230852485076,erdbeben dort
wurden,363.92734665733104,0.01621676528632637,-0.01501466460800341,-0.020007451401489667,0.014287171126410866,wurden
dort werd+en,8.65961424862684,-0.010752120547012939,0.003709229653822418,0.01490481461774827,-0.0053691254471645855,dort werd+en
Boden-Boden-Raketen,7.962880408118855,-0.012143617315237403,0.004030702660291474,0.01581635796088205,-0.004965833010491671,Boden-Boden-Raketen
werd+en boden+-+boden+-+rakete+n,7.962880408118855,-0.012143617315237403,0.004030702660291474,0.01581635796088205,-0.004965833010491671,werd+en boden+-+boden+-+rakete+n
gelagert,6.793941474890346,-0.014935875414049692,0.004671568766309636,0.01761929466276421,-0.00413725175525727,gelagert
boden+-+boden+-+rakete+n ge+lager+t,6.793941474890346,-0.014935875414049692,0.004671568766309636,0.01761929466276421,-0.00413725175525727,boden+-+boden+-+rakete+n ge+lager+t
Ein,2234.1216383761694,0.013389326153274483,0.02145729567742392,-0.0212655235743373,-0.017555907483488915,Ein
ge+lager+t ein,6.428109307736798,-0.015962462596092568,0.004905740192992082,0.018273127514354382,-0.0038258709790319613,ge+lager+t ein
israelischer,10.016920652532596,-0.008460596878800509,0.0031768751931180515,0.013385483591314164,-0.006020184881170047,israelischer
ein israelisch+er,10.016920652532596,-0.008460596878800509,0.0031768751931180515,0.013385483591314164,-0.006020184881170047,ein israelisch+er
Angriff,9.399118946718001,-0.009443921392433394,0.0034057586876535227,0.014040169880207945,-0.005742739146120901,Angriff
israelisch+er angriff,9.399118946718001,-0.009443921392433394,0.0034057586876535227,0.014040169880207945,-0.005742739146120901,israelisch+er angriff
Militärstandorte,9.760092354156958,-0.008858425738573834,0.0032695550568543827,0.013650838925772688,-0.005908278920874838,Militärstandorte
angriff militär+stand+ort+e,9.760092354156958,-0.008858425738573834,0.0032695550568543827,0.013650838925772688,-0.005908278920874838,angriff militär+stand+ort+e
Syrien,28.124577461945673,0.003399318242126891,0.0029619889061841065,0.0036590483740573153,-0.010319183538463016,Syrien
militär+stand+ort+e syrien,10.992656147209885,-0.007073660827112843,0.002852939876490384,0.012455327489088154,-0.006406802135252535,militär+stand+ort+e syrien
Detonation,12.63236865887477,-0.005100314491830452,0.0023898800196644043,0.011118795177991763,-0.006947980142751797,Detonation
syrien detonation,12.63236865887477,-0.005100314491830452,0.0023898800196644043,0.011118795177991763,-0.006947980142751797,syrien detonation
verursacht,40.60842120156168,-0.001106252782632307,-0.009415038953954045,-0.006589086284223619,0.016527345939400948,verursacht
detonation verursach+t,14.574201250766555,-0.0031876993123933785,0.0019387462100234941,0.00980946338192435,-0.007463371292896892,detonation verursach+t
verursach+t erdbeben,29.96567485463527,0.004939113352092874,-1.1109719679330859e-06,0.004112704846107532,-0.009575202112776779,verursach+t erdbeben
auslöste,52.52219166540826,0.009839150544868062,-0.001186328149888404,0.000591833812823081,-0.010808011404762185,auslöste
erdbeben aus+lös+te,46.27614366518056,0.008827588819574364,-0.0009407984342285602,0.0013231618220216272,-0.010555083843122441,erdbeben aus+lös+te
Die,1814.4558053377195,0.02468274540827556,-0.009347089329415912,-0.015842405114916195,-0.004913919789720035,Die
Erschütterung,79.7668443960518,0.012157738219393066,-0.0014406270654935798,-0.0022489963884164904,-0.010609056705545171,Erschütterung
der erschütterung,15.46763453942872,-0.0038664700299184175,0.0061687034505118,0.007871917608699493,-0.009085846166464618,der erschütterung
konnte,28.69367116610473,0.0344702850518876,-0.013573269763997333,-0.009194427789063006,-0.018642672007806452,konnte
erschütterung könn+e,11.909876592074456,-0.005921959864938401,0.002582987585914766,0.011677113462877474,-0.006723868733174907,erschütterung könn+e
Richterskala,45.65151257187922,0.0072655795573246746,0.0010713339011914416,-2.6163569587273773e-05,-0.009469424028486242,Richterskala
könn+e richter+skala,10.625845033377633,-0.0075735248831176475,0.0029698362126265435,0.012791459943028596,-0.006268080270171111,könn+e richter+skala
gemessen,119.50031728061666,0.010819819032857498,0.009504015584973536,-0.007777521317222933,-0.014870090304132604,gemessen
richter+skala ge+mess+en,18.06057353605918,-0.0012192212647723568,0.0006179302065201662,0.007278118923250739,-0.006027052569501006,richter+skala ge+mess+en
Tatjana,9.12391987318437,-0.009912673792014446,0.0035146347051351954,0.014350829626851122,-0.005609468073467247,Tatjana
Ohm,8.846388655117776,-0.01040671578547468,0.0036292198201251687,0.014677235351905724,-0.005468282427704185,Ohm
tatjana ohm,8.846388655117776,-0.01040671578547468,0.0036292198201251687,0.014677235351905724,-0.005468282427704185,tatjana ohm
berichtet,91.9945273627855,0.014153367021393836,-0.00229307359919989,-0.007186655787993591,-0.007490369616814175,berichtet
ohm bericht+et,5.598048987739897,-0.01866004450468368,0.005517300045341241,0.01996754950918052,-0.0029897004951745703,ohm bericht+et
Tel,5.413646232323931,-0.01934430086535013,0.005671548147214675,0.020391841218493894,-0.002773394640111732,Tel
bericht+et tel,5.413646232323931,-0.01934430086535013,0.005671548147214675,0.020391841218493894,-0.002773394640111732,bericht+et tel
Aviv,5.471762969773897,-0.0191247956678822,0.005622105162872881,0.020255975152982907,-0.002842971400393731,Aviv
tel aviv,5.471762969773897,-0.0191247956678822,0.005622105162872881,0.020255975152982907,-0.002842971400393731,tel aviv
berichtet…,7.170714199766172,-0.013962053569833372,0.004448710256072655,0.01699454794437865,-0.004429232267495279,berichtet…
ohm berichtet…,5.598048987739897,-0.01866004450468368,0.005517300045341241,0.01996754950918052,-0.0029897004951745703,ohm berichtet…
+73,5.413646232323931,-0.01934430086535013,0.005671548147214675,0.020391841218493894,-0.002773394640111732,+73
berichtet… +73,5.413646232323931,-0.01934430086535013,0.005671548147214675,0.020391841218493894,-0.002773394640111732,berichtet… +73
chars,1860.100398544106,0.02167563075241655,-0.0036844711379472378,-0.015871116944347976,-0.006931356709006779,chars
+73 chars,5.358493786755969,-0.019556022005450577,0.005719202994056317,0.020522670562969088,-0.0027061173570085873,+73 chars
Tsunami-Warnung,312.9523819022886,0.01901717187324552,-0.0036493572595549897,-0.007180855515811234,-0.011886876809725683,Tsunami-Warnung
schwerem,142.37871560976055,0.016204029081878176,-0.0027404912179691456,-0.004056028078838419,-0.0123888666869347,schwerem
